question_id,noise_rate,mode,m,budget,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_110,0.0,sell,2,20,22,0,33,1.0,0.4,0.5714285714285715
3hop_comp_110,0.0,sell,3,20,22,0,33,1.0,0.4,0.5714285714285715
3hop_comp_110,0.0,sell,1,200,17,0,38,1.0,0.3090909090909091,0.4722222222222222
3hop_comp_110,0.0,sell,2,200,22,0,33,1.0,0.4,0.5714285714285715
3hop_comp_110,0.0,sell,3,200,22,0,33,1.0,0.4,0.5714285714285715
3hop_comp_112,0.0,classic_lp,0,0,37,0,0,1.0,1.0,1.0
3hop_comp_112,0.0,sell,1,20,18,0,19,1.0,0.4864864864864865,0.6545454545454547
3hop_comp_112,0.0,sell,2,20,18,0,19,1.0,0.4864864864864865,0.6545454545454547
3hop_comp_112,0.0,sell,3,20,18,0,19,1.0,0.4864864864864865,0.6545454545454547
3hop_comp_112,0.0,sell,1,200,18,0,19,1.0,0.4864864864864865,0.6545454545454547
3hop_comp_112,0.0,sell,2,200,18,0,19,1.0,0.4864864864864865,0.6545454545454547
3hop_comp_112,0.0,sell,3,200,18,0,19,1.0,0.4864864864864865,0.6545454545454547
3hop_comp_115,0.0,classic_lp,0,0,69,0,0,1.0,1.0,1.0
3hop_comp_115,0.0,sell,1,20,24,0,45,1.0,0.34782608695652173,0.5161290322580645
3hop_comp_115,0.0,sell,2,20,29,0,40,1.0,0.42028985507246375,0.5918367346938774
3hop_comp_115,0.0,sell,3,20,29,0,40,1.0,0.42028985507246375,0.5918367346938774
3hop_comp_115,0.0,sell,1,200,24,0,45,1.0,0.34782608695652173,0.5161290322580645
3hop_comp_115,0.0,sell,2,200,29,0,40,1.0,0.42028985507246375,0.5918367346938774
3hop_comp_115,0.0,sell,3,200,29,0,40,1.0,0.42028985507246375,0.5918367346938774
3hop_comp_116,0.0,classic_lp,0,0,64,0,0,1.0,1.0,1.0
3hop_comp_116,0.0,sell,1,20,27,0,37,1.0,0.421875,0.5934065934065934
3hop_comp_116,0.0,sell,2,20,32,0,32,1.0,0.5,0.6666666666666666
3hop_comp_116,0.0,sell,3,20,32,0,32,1.0,0.5,0.6666666666666666
