question_id,noise_rate,mode,n_gold,n_derived_goals,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_96,0.5,classic_lp,69,77,69,8,0,0.8961038961038961,1.0,0.9452054794520548
3hop_comp_96,0.5,sell,69,28,27,1,42,0.9642857142857143,0.391304347826087,0.5567010309278351
3hop_comp_100,0.5,classic_lp,52,52,52,0,0,1.0,1.0,1.0
3hop_comp_100,0.5,sell,52,16,16,0,36,1.0,0.3076923076923077,0.47058823529411764
3hop_comp_103,0.5,classic_lp,51,51,51,0,0,1.0,1.0,1.0
3hop_comp_103,0.5,sell,51,15,15,0,36,1.0,0.29411764705882354,0.45454545454545453
3hop_comp_105,0.5,classic_lp,75,78,72,6,3,0.9230769230769231,0.96,0.9411764705882353
3hop_comp_105,0.5,sell,75,27,27,0,48,1.0,0.36,0.5294117647058824
3hop_comp_108,0.5,classic_lp,76,78,72,6,4,0.9230769230769231,0.9473684210526315,0.935064935064935
3hop_comp_108,0.5,sell,76,29,28,1,48,0.9655172413793104,0.3684210526315789,0.5333333333333333
3hop_comp_109,0.5,classic_lp,78,75,66,9,12,0.88,0.8461538461538461,0.8627450980392156
3hop_comp_109,0.5,sell,78,30,28,2,50,0.9333333333333333,0.358974358974359,0.5185185185185185
3hop_comp_110,0.5,classic_lp,55,60,47,13,8,0.7833333333333333,0.8545454545454545,0.817391304347826
3hop_comp_110,0.5,sell,55,17,15,2,40,0.8823529411764706,0.2727272727272727,0.41666666666666663
3hop_comp_112,0.5,classic_lp,37,68,28,40,9,0.4117647058823529,0.7567567567567568,0.5333333333333332
3hop_comp_112,0.5,sell,37,27,15,12,22,0.5555555555555556,0.40540540540540543,0.46875
3hop_comp_115,0.5,classic_lp,69,66,57,9,12,0.8636363636363636,0.8260869565217391,0.8444444444444444
3hop_comp_115,0.5,sell,69,25,22,3,47,0.88,0.3188405797101449,0.4680851063829787
3hop_comp_116,0.5,classic_lp,64,70,54,16,10,0.7714285714285715,0.84375,0.8059701492537314
3hop_comp_116,0.5,sell,64,25,23,2,41,0.92,0.359375,0.5168539325842697
3hop_comp_120,0.5,classic_lp,80,81,76,5,4,0.9382716049382716,0.95,0.9440993788819876
3hop_comp_120,0.5,sell,80,25,23,2,57,0.92,0.2875,0.4380952380952381
3hop_comp_121,0.5,classic_lp,75,68,61,7,14,0.8970588235294118,0.8133333333333334,0.8531468531468531
3hop_comp_121,0.5,sell,75,15,14,1,61,0.9333333333333333,0.18666666666666668,0.31111111111111106
3hop_comp_122,0.5,classic_lp,78,84,72,12,6,0.8571428571428571,0.9230769230769231,0.888888888888889
3hop_comp_122,0.5,sell,78,28,24,4,54,0.8571428571428571,0.3076923076923077,0.45283018867924535
3hop_comp_123,0.5,classic_lp,48,48,48,0,0,1.0,1.0,1.0
3hop_comp_123,0.5,sell,48,15,15,0,33,1.0,0.3125,0.47619047619047616
3hop_comp_130,0.5,classic_lp,70,70,70,0,0,1.0,1.0,1.0
3hop_comp_130,0.5,sell,70,18,18,0,52,1.0,0.2571428571428571,0.40909090909090906
3hop_comp_132,0.5,classic_lp,73,86,66,20,7,0.7674418604651163,0.9041095890410958,0.8301886792452831
3hop_comp_132,0.5,sell,73,24,22,2,51,0.9166666666666666,0.3013698630136986,0.45360824742268036
3hop_comp_137,0.5,classic_lp,80,81,71,10,9,0.8765432098765432,0.8875,0.8819875776397514
3hop_comp_137,0.5,sell,80,25,25,0,55,1.0,0.3125,0.47619047619047616
3hop_comp_142,0.5,classic_lp,79,82,71,11,8,0.8658536585365854,0.8987341772151899,0.8819875776397516
3hop_comp_142,0.5,sell,79,31,30,1,49,0.967741935483871,0.379746835443038,0.5454545454545455
3hop_comp_0,0.7,classic_lp,73,85,70,15,3,0.8235294117647058,0.958904109589041,0.8860759493670886
3hop_comp_0,0.7,sell,73,22,20,2,53,0.9090909090909091,0.273972602739726,0.42105263157894735
3hop_comp_3,0.7,classic_lp,75,55,51,4,24,0.9272727272727272,0.68,0.7846153846153845
3hop_comp_3,0.7,sell,75,21,20,1,55,0.9523809523809523,0.26666666666666666,0.4166666666666667
3hop_comp_9,0.7,classic_lp,60,62,43,19,17,0.6935483870967742,0.7166666666666667,0.7049180327868854
3hop_comp_9,0.7,sell,60,16,14,2,46,0.875,0.23333333333333334,0.3684210526315789
3hop_comp_10,0.7,classic_lp,76,79,65,14,11,0.8227848101265823,0.8552631578947368,0.8387096774193549
3hop_comp_10,0.7,sell,76,23,19,4,57,0.8260869565217391,0.25,0.3838383838383838
3hop_comp_13,0.7,classic_lp,74,85,72,13,2,0.8470588235294118,0.972972972972973,0.9056603773584906
3hop_comp_13,0.7,sell,74,21,18,3,56,0.8571428571428571,0.24324324324324326,0.37894736842105264
3hop_comp_15,0.7,classic_lp,64,69,57,12,7,0.8260869565217391,0.890625,0.8571428571428571
3hop_comp_15,0.7,sell,64,17,15,2,49,0.8823529411764706,0.234375,0.37037037037037035
3hop_comp_21,0.7,classic_lp,79,79,71,8,8,0.8987341772151899,0.8987341772151899,0.8987341772151899
3hop_comp_21,0.7,sell,79,31,29,2,50,0.9354838709677419,0.3670886075949367,0.5272727272727272
3hop_comp_26,0.7,classic_lp,80,83,75,8,5,0.9036144578313253,0.9375,0.920245398773006
3hop_comp_26,0.7,sell,80,30,29,1,51,0.9666666666666667,0.3625,0.5272727272727272
3hop_comp_29,0.7,classic_lp,78,66,63,3,15,0.9545454545454546,0.8076923076923077,0.875
3hop_comp_29,0.7,sell,78,34,34,0,44,1.0,0.4358974358974359,0.6071428571428571
3hop_comp_32,0.7,classic_lp,80,84,74,10,6,0.8809523809523809,0.925,0.9024390243902439
3hop_comp_32,0.7,sell,80,31,29,2,51,0.9354838709677419,0.3625,0.5225225225225225
3hop_comp_35,0.7,classic_lp,77,77,68,9,9,0.8831168831168831,0.8831168831168831,0.8831168831168831
3hop_comp_35,0.7,sell,77,24,22,2,55,0.9166666666666666,0.2857142857142857,0.4356435643564356
3hop_comp_36,0.7,classic_lp,71,70,56,14,15,0.8,0.7887323943661971,0.7943262411347518
