K,hops,mode,trace_size,verify_time_us,budget_used
5,2,sell,1,8.37500556372106,1
5,2,sell,1,6.2920007621869445,1
5,2,sell,1,7.000002369750291,1
5,2,sell,1,6.417001713998616,1
5,2,sell,1,6.624999514315277,1
5,2,sell,1,6.750000466126949,1
5,2,sell,1,6.000002031214535,1
5,2,sell,1,6.583999493159354,1
5,2,sell,1,6.417001713998616,1
5,2,sell,1,6.249996658880264,1
5,2,sell,1,6.50000583846122,1
5,2,sell,1,6.166999810375273,1
5,2,sell,1,8.70799703989178,1
5,2,sell,1,6.750000466126949,1
5,2,sell,1,8.084003638941795,1
5,2,sell,1,6.000002031214535,1
5,2,sell,1,5.9580052038654685,1
5,2,sell,1,6.2920007621869445,1
5,2,sell,1,6.50000583846122,1
5,2,sell,1,5.833004252053797,1
5,2,sell,1,5.915993824601173,1
5,2,sell,1,5.583002348430455,1
5,2,sell,1,6.249996658880264,1
5,2,sell,1,7.667003956157714,1
5,2,sell,1,6.041002052370459,1
5,2,sell,1,6.417001713998616,1
5,2,sell,1,5.9589947341009974,1
5,2,sell,1,7.125003321561962,1
5,2,sell,1,9.625000529922545,1
5,2,sell,1,6.9160014390945435,1
5,2,sell,1,6.542002665810287,1
5,2,sell,1,5.832996976096183,1
5,2,sell,1,6.417001713998616,1
5,2,sell,1,5.750000127591193,1
5,2,sell,1,6.2920007621869445,1
5,2,sell,1,5.832996976096183,1
5,2,sell,1,8.875002095010132,1
5,2,sell,1,6.583999493159354,1
5,2,sell,1,7.249996997416019,1
5,2,sell,1,5.957997927907854,1
5,2,sell,1,9.749994205776602,1
5,2,sell,1,7.125003321561962,1
5,2,sell,1,7.208996976260096,1
5,2,sell,1,6.416994438041002,1
5,2,sell,1,7.000002369750291,1
5,2,sell,1,6.417001713998616,1
5,2,sell,1,7.624999852851033,1
5,2,sell,1,7.000002369750291,1
5,2,sell,1,7.792004907969385,1
5,2,sell,1,6.874994141981006,1
5,2,sell,1,7.208000170066953,1
5,2,sell,1,6.583999493159354,1
5,2,sell,1,6.54099858365953,1
5,2,sell,1,8.457995136268437,1
5,2,sell,1,6.499998562503606,1
5,2,sell,1,10.042000212706625,1
5,2,sell,1,7.542003004346043,1
5,2,sell,1,7.624999852851033,1
5,2,sell,1,6.95799826644361,1
5,2,sell,1,6.041998858563602,1
5,2,sell,1,7.709000783506781,1
5,2,sell,1,8.499999239575118,1
5,2,sell,1,7.7079967013560236,1
5,2,sell,1,11.95799995912239,1
5,2,sell,1,9.249997674487531,1
5,2,sell,1,8.249997335951775,1
5,2,sell,1,6.791997293476015,1
5,2,sell,1,10.49999991664663,1
5,2,sell,1,8.958006219472736,1
5,2,sell,1,7.041999197099358,1
5,2,sell,1,6.207999831531197,1
5,2,sell,1,7.499998901039362,1
5,2,sell,1,6.542002665810287,1
5,2,sell,1,6.457994459196925,1
5,2,sell,1,7.624999852851033,1
5,2,sell,1,8.666000212542713,1
5,2,sell,1,7.7500008046627045,1
5,2,sell,1,6.541995389852673,1
5,2,sell,1,7.665999874006957,1
5,2,sell,1,6.750000466126949,1
5,2,sell,1,7.374997949227691,1
5,2,sell,1,6.124995707068592,1
5,2,sell,1,9.666997357271612,1
5,2,sell,1,7.708003977313638,1
5,2,sell,1,7.541995728388429,1
5,2,sell,1,6.499998562503606,1
5,2,sell,1,8.875002095010132,1
5,2,sell,1,6.499998562503606,1
5,2,sell,1,6.791997293476015,1
5,2,sell,1,8.08399636298418,1
5,2,sell,1,7.374997949227691,1
5,2,sell,1,6.041998858563602,1
5,2,sell,1,7.624999852851033,1
5,2,sell,1,6.541995389852673,1
5,2,sell,1,7.333001121878624,1
5,2,sell,1,6.124995707068592,1
5,2,sell,1,6.1250029830262065,1
5,2,sell,1,7.125003321561962,1
5,2,sell,1,5.875001079402864,1
5,2,sell,1,6.958995072636753,1
5,2,sell,1,6.416994438041002,1
5,2,sell,1,5.832996976096183,1
5,2,sell,1,5.541995051316917,1
5,2,sell,1,9.957999282050878,1
5,2,sell,1,7.7500008046627045,1
5,2,sell,1,10.291994840372354,1
5,2,sell,1,6.583002686966211,1
5,2,sell,1,8.499999239575118,1
5,2,sell,1,8.000002708286047,1
5,2,sell,1,7.4160052463412285,1
5,2,sell,1,6.374997610691935,1
5,2,sell,1,6.666996341664344,1
5,2,sell,1,6.375004886649549,1
5,2,sell,1,7.041999197099358,1
5,2,sell,1,6.375004886649549,1
5,2,sell,1,6.499998562503606,1
5,2,sell,1,6.249996658880264,1
5,2,sell,1,6.2920007621869445,1
5,2,sell,1,7.374997949227691,1
5,2,sell,1,6.50000583846122,1
5,2,sell,1,8.291994163300842,1
5,2,sell,1,6.624999514315277,1
5,2,sell,1,7.958995411172509,1
5,2,sell,1,7.667003956157714,1
5,2,sell,1,6.333000783342868,1
5,2,sell,1,7.249996997416019,1
5,2,sell,1,6.1250029830262065,1
5,2,sell,1,6.333997589536011,1
5,2,sell,1,6.000002031214535,1
5,2,sell,1,5.708003300242126,1
5,2,sell,1,5.542002327274531,1
5,2,sell,1,5.4580013966187835,1
5,2,sell,1,5.415997293312103,1
5,2,sell,1,5.374997272156179,1
5,2,sell,1,5.875001079402864,1
5,2,sell,1,5.791000148747116,1
5,2,sell,1,5.667003279086202,1
5,2,sell,1,6.750000466126949,1
5,2,sell,1,6.041998858563602,1
5,2,sell,1,5.7919969549402595,1
5,2,sell,1,6.000002031214535,1
5,2,sell,1,5.6249991757795215,1
5,2,sell,1,6.624999514315277,1
5,2,sell,1,5.792004230897874,1
5,2,sell,1,7.58399983169511,1
5,2,sell,1,8.458002412226051,1
5,2,sell,1,7.000002369750291,1
5,2,sell,1,6.333000783342868,1
5,2,sell,1,7.000002369750291,1
5,2,sell,1,5.9580052038654685,1
5,2,sell,1,7.2079928941093385,1
5,2,sell,1,5.916997906751931,1
5,2,sell,1,6.499998562503606,1
5,2,sell,1,8.458999218419194,1
5,2,sell,1,6.87500141793862,1
5,2,sell,1,7.250004273373634,1
5,2,sell,1,6.750000466126949,1
5,2,sell,1,7.458998879883438,1
5,2,sell,1,6.250003934837878,1
5,2,sell,1,6.499998562503606,1
5,2,sell,1,5.957997927907854,1
5,2,sell,1,8.459006494376808,1
5,2,sell,1,7.7500008046627045,1
5,2,sell,1,6.667003617621958,1
5,2,sell,1,6.124995707068592,1
5,2,sell,1,6.040994776412845,1
5,2,sell,1,6.582995411008596,1
5,2,sell,1,6.250003934837878,1
5,2,sell,1,6.833004590589553,1
5,2,sell,1,5.750000127591193,1
5,2,sell,1,6.457994459196925,1
5,2,sell,1,5.6249991757795215,1
5,2,sell,1,6.665999535471201,1
5,2,sell,1,6.207999831531197,1
5,2,sell,1,5.875001079402864,1
5,2,sell,1,6.082998879719526,1
5,2,sell,1,5.83400105824694,1
5,2,sell,1,7.417002052534372,1
5,2,sell,1,6.708003638777882,1
5,2,sell,1,11.374999303370714,1
5,2,sell,1,6.583002686966211,1
5,2,sell,1,7.999995432328433,1
5,2,sell,1,6.87500141793862,1
5,2,sell,1,6.374997610691935,1
5,2,sell,1,7.542003004346043,1
5,2,sell,1,6.95799826644361,1
5,2,sell,1,6.542002665810287,1
5,2,sell,1,5.833993782289326,1
5,2,sell,1,5.7919969549402595,1
5,2,sell,1,6.707996362820268,1
